java_file,acoco,CAMC,CAMC-cvc,cc,coco,fout,hsd,hse,hsv,java,LCOM5,LCOM5-cvc,loc,midx,MMAC,MMAC-cvc,mncoco,mxcoco,NHD,NHD-cvc,nobl,nocl,SCOM,SCOM-cvc
/itest/src/edu/stanford/nlp/coref/CorefBenchmark_testCoref_1.java,-,-,-,1,-,0,11,5573.179,506.653,-,-,-,13,100,-,-,-,-,-,-,1,3,-,-
/itest/src/edu/stanford/nlp/coref/CorefBenchmark_setUp_0.java,-,-,-,3,-,0,14.348,8583.784,598.264,-,-,-,13,100,-,-,-,-,-,-,5,3,-,-
/itest/src/edu/stanford/nlp/ie/crf/TestThreadedCRFClassifier_loadClassifier_1.java,-,-,-,1,-,0,10,1348.863,134.886,-,-,-,5,100,-,-,-,-,-,-,0,0,-,-
/itest/src/edu/stanford/nlp/ie/crf/TestThreadedCRFClassifier_runTest_4.java,-,-,-,1,-,0,8.1,770.989,95.184,-,-,-,4,100,-,-,-,-,-,-,0,0,-,-
/itest/src/edu/stanford/nlp/ie/crf/TestThreadedCRFClassifier_TestThreadedCRFClassifier_0.java,-,-,-,1,-,0,9.167,916.667,100,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/itest/src/edu/stanford/nlp/ie/crf/TestThreadedCRFClassifier_main_3.java,-,-,-,2,-,0,8.938,2932.28,328.087,-,-,-,9,100,-,-,-,-,-,-,1,0,-,-
/itest/src/edu/stanford/nlp/ie/crf/TestThreadedCRFClassifier_runThreadedTest_5.java,-,-,-,15,-,0,44.169,210622.28,4768.529,-,-,-,91,79.841,-,-,-,-,-,-,8,7,-,-
/itest/src/edu/stanford/nlp/ie/crf/TestThreadedCRFClassifier_runClassifier_2.java,-,-,-,2,-,0,8.077,2082.578,257.843,-,-,-,9,100,-,-,-,-,-,-,0,0,-,-
/itest/src/edu/stanford/nlp/util/TestPaths_testHome_0.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/itest/src/edu/stanford/nlp/util/BenchmarkingHelper_BenchmarkingHelper_0.java,-,-,-,1,-,0,3,75.799,25.266,-,-,-,1,100,-,-,-,-,-,-,0,0,-,-
/itest/src/edu/stanford/nlp/pipeline/NERBenchmarkTestCase_testTest_12.java,-,-,-,1,-,0,4,243.777,60.944,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/itest/src/edu/stanford/nlp/pipeline/TokenizerBenchmarkTestCase_loadTokenizerTestExamples_0.java,-,-,-,4,-,0,12.316,6588.947,535,-,-,-,16,100,-,-,-,-,-,-,0,0,-,-
/itest/src/edu/stanford/nlp/pipeline/TokenizerBenchmarkTestCase_runTest_2.java,-,-,-,2,-,0,23.188,45974.955,1982.747,-,-,-,25,100,-,-,-,-,-,-,0,0,-,-
/itest/src/edu/stanford/nlp/pipeline/NERBenchmarkTestCase_tagCoNLLFileWithPipeline_6.java,-,-,-,3,-,0,16.692,12614.607,755.714,-,-,-,14,100,-,-,-,-,-,-,0,2,-,-
/itest/src/edu/stanford/nlp/pipeline/AnnotationComparator_compareEntityMentionsLists_1.java,-,-,-,4,-,0,25.2,27970.349,1109.934,-,-,-,19,100,-,-,-,-,-,-,0,0,-,-
/itest/src/edu/stanford/nlp/pipeline/NERBenchmarkTestCase_testDev_11.java,-,-,-,1,-,0,4,243.777,60.944,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
